rank,level,server,guild,character
1,102,Eda3,わっしょい,きゅあじい
2,101,Eda3,わっしょい,魔法少女かおる一
3,101,Eda3,わっしょい,魔法少女首領閣下
4,100,Eda3,わっしょい,ぽめまる一
5,100,Eda4,ぱてぃすりーず,激辛Sugar
6,100,Eda3,M2O,だいきん
7,99,Eda4,ぱてぃすりーず,三不粘さん
8,99,Eda3,M2O,がっつり亀太郎
9,99,Eda4,なみだふくよ,歩世
10,99,Eda3,M2O,チェインドベル
11,99,Eda4,なみだふくよ,悪迦那奈
12,99,Eda4,なみだふくよ,飛笑笑流
13,99,Eda3,わっしょい,魔法少女N
14,98,Eda4,なみだふくよ,裸喜詐斗恩
15,98,Eda4,ぱてぃすりーず,パンニャコッタ
16,98,Eda2,5secret,ここちゃん
17,98,Eda4,ぱてぃすりーず,発酵する生ゴミ
18,98,Eda4,ぱてぃすりーず,解放のぷりん
19,98,Eda3,わっしょい,きゅあすずこ
20,98,Eda4,ぱてぃすりーず,大納言善哉
21,98,Eda3,わっしょい,狐様は魔法少女
22,98,Eda4,なみだふくよ,男男九二主
23,98,Eda4,なみだふくよ,疾流陀
24,98,Eda3,わっしょい,sumibi
25,98,Eda3,M2O,嶽ちゃんマン
26,97,Eda4,なみだふくよ,二罰
27,97,Eda2,5secret,十らら十
28,97,Eda4,なみだふくよ,曼陀
29,97,Eda4,エス,きない
30,97,Eda2,Lien,ひろぽん
31,97,Eda3,わっしょい,ぎんぴー
32,97,Eda3,わっしょい,魔法少女ゴリラ
33,97,Eda3,わっしょい,マジカルパオーン
34,97,Eda4,なみだふくよ,百々
35,97,Eda4,なみだふくよ,びー先輩
36,97,Eda2,5secret,へびちん
37,97,Eda4,,生ごみコンポスタ
38,97,Eda4,なみだふくよ,煌茶燦
39,97,Eda1,ミーティス,dobby
40,97,Eda4,なみだふくよ,蝶歩六爺
41,97,Eda4,なみだふくよ,六茶
42,97,Eda4,なみだふくよ,亜狐依茶茉
43,97,Eda4,なみだふくよ,技術
44,97,Eda2,れくいえむ,もふもふらんど
45,97,Eda3,わっしょい,魔法少女かりぶた
46,97,Eda4,ぱてぃすりーず,爆発した生ゴミ
47,97,Eda3,わっしょい,魔法少女月読命
48,97,Eda4,なみだふくよ,鄒氏
49,97,Eda2,5secret,CHUMP
50,97,Eda4,ぱてぃすりーず,強欲の生ゴミ
51,97,Eda4,すうぃーてぃす,げんめた
52,97,Eda4,ぱてぃすりーず,キャメリーゼ
53,97,Eda3,わっしょい,魔法少女天使
54,97,Eda3,わっしょい,Eiru
55,97,Eda3,わっしょい,魔法少女ろべりあ
56,97,Eda3,M2O,はにゃくま
57,97,Eda4,なみだふくよ,グー君
58,97,Eda3,わっしょい,魔法少女珍夕オ
59,97,Eda3,わっしょい,テクマクまやちん
60,97,Eda4,なみだふくよ,帝亜
61,97,Eda2,れくいえむ,あおたろ
62,97,Eda3,わっしょい,魔法少女JPN
63,97,Eda3,わっしょい,魔法少女丼
64,97,Eda3,,chisama
65,97,Eda4,,普通の生ゴミ
66,97,Eda1,,炬鉄人
67,97,Eda3,わっしょい,魔法少女りりぃ
68,97,Eda4,なみだふくよ,五十
69,97,Eda3,どっこいしょ,魔少女ふぉっくす
70,97,Eda3,ぴよぴよ団,啄木鳥
71,97,Eda4,なみだふくよ,浬哩
72,97,Eda4,すうぃーてぃす,まいる
73,97,Eda2,Lien,国宝級イケメン
74,97,Eda3,わっしょい,まじかるえいだ
75,97,Eda4,なみだふくよ,堕賭苦一
76,97,Eda4,ぱてぃすりーず,甘美な生ゴミ
77,97,Eda4,ぱてぃすりーず,ロクデ梨
78,97,Eda4,,徘徊する生ゴミ
79,97,Eda4,なみだしてんし,羽知古
80,97,Eda4,ぱてぃすりーず,クロドン真打ち
81,97,Eda4,なみだふくよ,猫の惑星
82,97,Eda4,なみだふくよ,鯖婆婆婆
83,97,Eda4,エス,syousei
84,97,Eda3,わっしょい,魔法少女珍夕ロ
85,97,Eda3,M2O,ゆんゆんぽむ
86,97,Eda4,ぱてぃすりーず,暴食の生ゴミ
87,97,Eda3,M2O,超あるふred
88,97,Eda3,ぴよぴよ団,Momonga
89,97,Eda2,Lien,名探偵コナソ
90,97,Eda3,わっしょい,かいりマギカ
91,97,Eda3,わっしょい,きづなマギカ
92,97,Eda3,ぴよぴよ団,マンディ
93,97,Eda4,なみだふくよ,ワンタロウ
94,97,Eda4,ぱてぃすりーず,葵AOIしょこら
95,97,Eda3,ぴよぴよ団,あれいら
96,97,Eda3,M2O,シェラ
97,97,Eda3,わっしょい,たくしょー
98,97,Eda3,わっしょい,魔法少女Y
99,97,Eda3,わっしょい,テクヤクコタマン
100,97,Eda2,Lien,Nyaロメ
