rank,level,server,guild,character
1,102,Eda3,わっしょい,きゅあじい
2,102,Eda3,わっしょい,魔法少女かおる一
3,101,Eda3,わっしょい,魔法少女首領閣下
4,100,Eda3,わっしょい,ぽめまる一
5,100,Eda4,ぱてぃすりーず,激辛Sugar
6,100,Eda3,M2O,だいきん
7,99,Eda4,なみだふくよ,悪迦那奈
8,99,Eda4,ぱてぃすりーず,三不粘さん
9,99,Eda3,M2O,がっつり亀太郎
10,99,Eda4,なみだふくよ,歩世
11,99,Eda3,M2O,チェインドベル
12,99,Eda4,なみだふくよ,飛笑笑流
13,99,Eda3,わっしょい,魔法少女N
14,98,Eda4,なみだふくよ,裸喜詐斗恩
15,98,Eda4,ぱてぃすりーず,発酵する生ゴミ
16,98,Eda4,ぱてぃすりーず,パンニャコッタ
17,98,Eda2,5secret,ここちゃん
18,98,Eda4,ぱてぃすりーず,解放のぷりん
19,98,Eda4,ぱてぃすりーず,大納言善哉
20,98,Eda3,わっしょい,きゅあすずこ
21,98,Eda4,なみだふくよ,疾流陀
22,98,Eda4,なみだふくよ,男男九二主
23,98,Eda3,わっしょい,狐様は魔法少女
24,98,Eda3,わっしょい,sumibi
25,98,Eda3,M2O,嶽ちゃんマン
26,97,Eda4,なみだふくよ,二罰
27,97,Eda2,5secret,へびちん
28,97,Eda2,5secret,十らら十
29,97,Eda4,なみだふくよ,曼陀
30,97,Eda4,エス,きない
31,97,Eda2,Lien,ひろぽん
32,97,Eda3,わっしょい,ぎんぴー
33,97,Eda4,ぱてぃすりーず,食い逃げするゴミ
34,97,Eda4,ぱてぃすりーず,生ごみコンポスタ
35,97,Eda3,わっしょい,マジカルパオーン
36,97,Eda4,なみだふくよ,百々
37,97,Eda4,なみだふくよ,びー先輩
38,97,Eda3,わっしょい,魔法少女ゴリラ
39,97,Eda4,なみだふくよ,煌茶燦
40,97,Eda4,なみだふくよ,蝶歩六爺
41,97,Eda4,なみだふくよ,亜狐依茶茉
42,97,Eda4,なみだふくよ,六茶
43,97,Eda2,れくいえむ,もふもふらんど
44,97,Eda3,わっしょい,魔法少女月読命
45,97,Eda4,なみだふくよ,技術
46,97,Eda4,ぱてぃすりーず,爆発した生ゴミ
47,97,Eda1,ミーティス,dobby
48,97,Eda3,わっしょい,魔法少女かりぶた
49,97,Eda4,なみだふくよ,鄒氏
50,97,Eda4,ぱてぃすりーず,強欲の生ゴミ
51,97,Eda2,5secret,CHUMP
52,97,Eda4,エクスペリエンス,げんめた
53,97,Eda3,わっしょい,魔法少女天使
54,97,Eda4,ぱてぃすりーず,キャメリーゼ
55,97,Eda3,わっしょい,Eiru
56,97,Eda2,5secret,ももちん
57,97,Eda4,なみだふくよ,グー君
58,97,Eda4,なみだふくよ,浬哩
59,97,Eda3,わっしょい,魔法少女ろべりあ
60,97,Eda3,わっしょい,テクマクまやちん
61,97,Eda4,ぱてぃすりーず,恋した苺パフェ
62,97,Eda3,M2O,はにゃくま
63,97,Eda4,なみだふくよ,帝亜
64,97,Eda2,れくいえむ,あおたろ
65,97,Eda3,わっしょい,魔法少女丼
66,97,Eda4,ぱてぃすりーず,普通の生ゴミ
67,97,Eda3,,chisama
68,97,Eda2,Lien,お嬢ですがなにか
69,97,Eda1,Pecos,炬鉄人
70,97,Eda3,わっしょい,魔法少女りりぃ
71,97,Eda3,,かいりマギカ
72,97,Eda4,ぱてぃすりーず,バステトリュフ
73,97,Eda3,どっこいしょ,魔少女ふぉっくす
74,97,Eda3,ぴよぴよ団,啄木鳥
75,97,Eda3,わっしょい,魔法少女JPN
76,97,Eda3,わっしょい,魔法少女珍夕オ
77,97,Eda4,なみだふくよ,五十
78,97,Eda4,すうぃーてぃす,まいる
79,97,Eda3,わっしょい,魔法少女羌かい
80,97,Eda3,わっしょい,まじかるえいだ
81,97,Eda2,Lien,国宝級イケメン
82,97,Eda4,なみだふくよ,堕賭苦一
83,97,Eda4,ぱてぃすりーず,甘美な生ゴミ
84,97,Eda4,ぱてぃすりーず,ロクデ梨
85,97,Eda4,ぱてぃすりーず,徘徊する生ゴミ
86,97,Eda4,ぱてぃすりーず,クロドン真打ち
87,97,Eda4,なみだしてんし,羽知古
88,97,Eda3,わっしょい,チョコボ大魔王
89,97,Eda4,エス,syousei
90,97,Eda4,なみだふくよ,猫の惑星
91,97,Eda4,なみだふくよ,鯖婆婆婆
92,97,Eda3,わっしょい,魔法少女珍夕ロ
93,97,Eda3,M2O,ゆんゆんぽむ
94,97,Eda3,M2O,超あるふred
95,97,Eda4,ぱてぃすりーず,暴食の生ゴミ
96,97,Eda2,Lien,名探偵コナソ
97,97,Eda3,ぴよぴよ団,Momonga
98,97,Eda3,ぴよぴよ団,マンディ
99,97,Eda4,なみだふくよ,ワンタロウ
100,97,Eda3,,きづなマギカ
