rank,level,server,guild,character
1,99,Virba2,Oblivion,wasabi5
2,99,Virba2,Oblivion,楓渚
3,99,Virba4,朧桜,もんすーん
4,99,Virba2,Oblivion,佐天涙子のよっ友
5,99,Virba4,血盟騎士団,えるむ
6,98,Virba3,月花町の安らげ荘,善良なノヴァ
7,98,Virba2,Oblivion,元すもうぶ
8,98,Virba2,Oblivion,のりちん
9,97,Virba3,月花町の安らげ荘,ひまちゃん
10,97,Virba2,Oblivion,ざっこ
11,97,Virba2,Oblivion,桐ケ谷和人
12,97,Virba1,サーフィス,指宿
13,97,Virba2,Oblivion,あまとぅー
14,97,Virba1,サーフィス,鴉鬼
15,97,Virba2,Oblivion,いぼぢん
16,97,Virba4,朧桜,yuユタta
17,97,Virba4,Harmony,駄馬頭琴
18,97,Virba4,,でんでん太鼓
19,97,Virba2,Oblivion,エルフスキー
20,97,Virba2,Abyss,プトティラ
21,97,Virba2,Oblivion,牡羊座のシオン
22,97,Virba1,サーフィス,Quixotic
23,97,Virba2,Oblivion,ーBambiー
24,97,Virba2,Oblivion,ーブロニキー
25,97,Virba4,,ける
26,97,Virba4,朧桜,ミケーレ
27,97,Virba4,月華,きよきよしい
28,97,Virba4,,へっぽこ牧太郎
29,97,Virba1,NoWords,Bye
30,97,Virba1,Lamium,ホー助君DXsp
31,97,Virba4,朧桜,RaitaN
32,97,Virba1,サーフィス,RONTAMA
33,97,Virba4,Harmony,床calmato
34,97,Virba2,Oblivion,いずみ
35,97,Virba4,,じぇけ
36,97,Virba4,朧桜,うりりん
37,97,Virba2,Oblivion,ぷちにゃんこ
38,97,Virba4,猫と愉快な仲間,邪夢JAM
39,97,Virba2,Oblivion,おぶりっぴぃ
40,97,Virba2,Oblivion,ゆめっち
41,97,Virba4,猫と愉快な仲間,Ehekatl
42,97,Virba4,朧桜,ーAMIー
43,97,Virba4,Harmony,おすぎとぴーこ
44,97,Virba1,サーフィス,アルシア
45,97,Virba1,サーフィス,赤頭巾
46,97,Virba4,朧桜,UEPOM
47,97,Virba2,Oblivion,ーArroWー
48,97,Virba4,猫と愉快な仲間,oニケo
49,97,Virba4,朧桜,魔天ノ人
50,97,Virba4,Harmony,ジゼルタ
51,97,Virba4,猫と愉快な仲間,あられみっくす
52,97,Virba2,Oblivion,狂ちゃん
53,97,Virba1,サーフィス,UKA
54,97,Virba2,Oblivion,れもちゃん
55,97,Virba3,月花町の安らげ荘,偽ジャンヌダルク
56,97,Virba1,サーフィス,ピコ417
57,97,Virba2,Oblivion,張遼
58,97,Virba2,Oblivion,ShinShin
59,97,Virba1,サーフィス,T4Y
60,97,Virba2,Abyss,あおみとり
61,97,Virba2,Oblivion,原田マハラジャ
62,97,Virba4,Harmony,Posaune
63,97,Virba3,,ほんみょんぼ
64,97,Virba2,,メンへラおぢさん
65,97,Virba4,朧桜,れぷれ
66,97,Virba3,月花町の安らげ荘,サイネリア
67,97,Virba2,Abyss,ロックネット
68,97,Virba2,Oblivion,定時シンデレラ
69,97,Virba4,朧桜,チーチー
70,97,Virba4,月華,hiroちあん
71,97,Virba4,,カサンドラ
72,97,Virba4,,ヴィオラo
73,97,Virba2,Oblivion,ねもねも
74,97,Virba4,Harmony,ノクシス
75,97,Virba1,サーフィス,ゴゾロック
76,97,Virba2,NoCtuRN,Litz
77,97,Virba4,月華,詩音
78,97,Virba4,HOALOHA友,べろりんぬちゃん
79,97,Virba4,すんすんらんど,o鮫o
80,97,Virba4,月華,ライムの助
81,97,Virba4,Harmony,MEVIUS
82,97,Virba4,すんすんらんど,o鰒o
83,97,Virba4,血盟騎士団,だうにー
84,97,Virba4,,なすたねっとo
85,97,Virba2,Abyss,Icoring
86,97,Virba4,,とってもポー
87,97,Virba4,Harmony,ナイスネイチャ
88,97,Virba4,Harmony,ムーミン改
89,97,Virba4,朧桜,U7
90,96,Virba3,月花町の安らげ荘,メルラン
91,96,Virba4,朧桜,糸色女子言周
92,96,Virba4,Harmony,手拍子
93,96,Virba2,Abyss,玖磨
94,96,Virba4,Harmony,ZioZio
95,96,Virba4,朧桜,せっけんパンダ
96,96,Virba1,サーフィス,シグルト
97,96,Virba4,朧桜,卍じゅーす
98,96,Virba1,サーフィス,おれかふぇ
99,96,Virba2,Abyss,ハル蔵
100,96,Virba2,Oblivion,o聖華o
