rank,level,server,guild,character
1,102,Eda3,わっしょい,きゅあじい
2,102,Eda3,わっしょい,魔法少女かおる一
3,101,Eda3,わっしょい,魔法少女首領閣下
4,100,Eda4,ぱてぃすりーず,激辛Sugar
5,100,Eda3,わっしょい,ぽめまる一
6,100,Eda3,M2O,だいきん
7,100,Eda4,なみだふくよ,悪迦那奈
8,99,Eda4,,三不粘さん
9,99,Eda3,M2O,がっつり亀太郎
10,99,Eda4,なみだふくよ,歩世
11,99,Eda3,M2O,チェインドベル
12,99,Eda4,なみだふくよ,飛笑笑流
13,99,Eda3,わっしょい,魔法少女N
14,99,Eda4,なみだふくよ,裸喜詐斗恩
15,98,Eda4,,発酵する生ゴミ
16,98,Eda4,,パンニャコッタ
17,98,Eda4,ぱてぃすりーず,解放のぷりん
18,98,Eda2,5secret,ここちゃん
19,98,Eda3,わっしょい,きゅあすずこ
20,98,Eda4,ぱてぃすりーず,大納言善哉
21,98,Eda4,なみだふくよ,疾流陀
22,98,Eda3,わっしょい,狐様は魔法少女
23,98,Eda4,なみだふくよ,男男九二主
24,98,Eda3,M2O,嶽ちゃんマン
25,98,Eda3,わっしょい,sumibi
26,98,Eda2,5secret,十らら十
27,98,Eda4,なみだふくよ,二罰
28,97,Eda2,5secret,へびちん
29,97,Eda4,なみだふくよ,曼陀
30,97,Eda2,Lien,ひろぽん
31,97,Eda4,,食い逃げするゴミ
32,97,Eda4,エス,きない
33,97,Eda3,わっしょい,ぎんぴー
34,97,Eda4,,生ごみコンポスタ
35,97,Eda3,わっしょい,マジカルパオーン
36,97,Eda4,なみだふくよ,百々
37,97,Eda4,なみだふくよ,びー先輩
38,97,Eda4,なみだふくよ,煌茶燦
39,97,Eda4,,爆発した生ゴミ
40,97,Eda3,わっしょい,魔法少女ゴリラ
41,97,Eda4,なみだふくよ,技術
42,97,Eda3,わっしょい,魔法少女月読命
43,97,Eda1,ミーティス,dobby
44,97,Eda4,なみだふくよ,亜狐依茶茉
45,97,Eda4,なみだふくよ,蝶歩六爺
46,97,Eda2,れくいえむ,もふもふらんど
47,97,Eda3,わっしょい,魔法少女天使
48,97,Eda4,なみだふくよ,六茶
49,97,Eda4,なみだふくよ,鄒氏
50,97,Eda3,わっしょい,魔法少女かりぶた
51,97,Eda2,5secret,ももちん
52,97,Eda4,,強欲の生ゴミ
53,97,Eda4,エクスペリエンス,げんめた
54,97,Eda2,5secret,CHUMP
55,97,Eda3,わっしょい,テクマクまやちん
56,97,Eda3,わっしょい,魔法少女JPN
57,97,Eda3,わっしょい,魔法少女丼
58,97,Eda4,,キャメリーゼ
59,97,Eda3,わっしょい,Eiru
60,97,Eda4,なみだふくよ,グー君
61,97,Eda4,なみだふくよ,浬哩
62,97,Eda4,ぱてぃすりーず,恋した苺パフェ
63,97,Eda3,わっしょい,魔法少女ろべりあ
64,97,Eda4,なみだふくよ,帝亜
65,97,Eda3,M2O,はにゃくま
66,97,Eda3,わっしょい,魔法少女珍夕オ
67,97,Eda4,ぱてぃすりーず,普通の生ゴミ
68,97,Eda3,,chisama
69,97,Eda2,れくいえむ,あおたろ
70,97,Eda1,Pecos,炬鉄人
71,97,Eda3,どっこいしょ,魔少女ふぉっくす
72,97,Eda2,Lien,お嬢ですがなにか
73,97,Eda4,ぱてぃすりーず,バステトリュフ
74,97,Eda3,わっしょい,魔法少女りりぃ
75,97,Eda3,ぴよぴよ団,啄木鳥
76,97,Eda4,なみだふくよ,堕賭苦一
77,97,Eda4,すうぃーてぃす,まいる
78,97,Eda4,ぱてぃすりーず,ロクデ梨
79,97,Eda4,なみだふくよ,五十
80,97,Eda3,わっしょい,まじかるえいだ
81,97,Eda2,Lien,国宝級イケメン
82,97,Eda3,わっしょい,魔法少女羌かい
83,97,Eda3,わっしょい,チョコボ大魔王
84,97,Eda4,,暴食の生ゴミ
85,97,Eda4,なみだしてんし,羽知古
86,97,Eda4,なみだふくよ,鯖婆婆婆
87,97,Eda4,,徘徊する生ゴミ
88,97,Eda4,ぱてぃすりーず,クロドン真打ち
89,97,Eda4,エス,syousei
90,97,Eda3,わっしょい,魔法少女珍夕ロ
91,97,Eda4,,甘美な生ゴミ
92,97,Eda4,なみだふくよ,猫の惑星
93,97,Eda3,わっしょい,かいりマギカ
94,97,Eda3,M2O,ゆんゆんぽむ
95,97,Eda3,M2O,超あるふred
96,97,Eda2,Lien,名探偵コナソ
97,97,Eda3,M2O,シェラ
98,97,Eda3,ぴよぴよ団,Momonga
99,97,Eda3,わっしょい,魔法少女弩すけ兵
100,97,Eda4,なみだふくよ,ワンタロウ
